Q	C	D
740	0.1	3.35
750	0.1	3.34
760	0.11	3.53
770	0.11	3.33
780	0.11	3.56
790	0.11	3.4
800	0.11	3.43
810	0.11	3.8
820	0.12	3.71
830	0.12	3.67
840	0.12	3.62
850	0.12	3.49
860	0.12	3.64
870	0.13	3.79
880	0.13	3.94
890	0.13	4.3
900	0.13	3.97
910	0.13	4.24
920	0.14	4.17
930	0.14	4.15
940	0.14	4.54
950	0.14	4.24
960	0.14	4.52
970	0.14	4.42
980	0.14	4.73
990	0.15	4.41
1000	0.15	4.7
1010	0.15	4.8
1020	0.15	4.88
1030	0.15	5.23
1040	0.16	4.83
1050	0.16	5.08
1060	0.16	4.79
1070	0.16	4.9
1080	0.16	5.26
1090	0.16	5.42
1100	0.17	5.11
1110	0.17	5.09
1120	0.17	5.42
1130	0.17	5.38
1140	0.18	5.31
1150	0.17	5.17
1160	0.17	5.5
1170	0.17	5.05
1180	0.17	5.15
1190	0.19	5.83
1200	0.18	5.63
0	0	0
10	0	0.05
20	0	0.1
30	0	0.22
40	0	0.25
50	0.01	0.31
60	0.01	0.36
70	0.01	0.41
80	0.01	0.48
90	0.01	0.51
100	0.01	0.61
110	0.02	0.64
120	0.02	0.73
130	0.02	0.69
140	0.02	0.78
150	0.02	0.8
160	0.02	0.84
170	0.02	0.83
180	0.03	0.86
190	0.03	1.01
200	0.03	0.93
210	0.03	0.92
220	0.03	1.09
230	0.03	1.09
240	0.03	1.12
250	0.04	1.21
260	0.04	1.22
270	0.04	1.5
280	0.04	1.34
290	0.04	1.24
300	0.04	1.52
310	0.04	1.42
320	0.05	1.47
330	0.05	1.54
340	0.05	1.63
350	0.05	1.58
360	0.05	1.64
370	0.05	1.62
380	0.05	1.72
390	0.06	1.9
400	0.06	1.86
410	0.06	1.89
420	0.06	1.96
430	0.06	1.95
440	0.06	2.09
450	0.06	2.14
460	0.07	2.21
470	0.07	2.51
480	0.07	2.47
490	0.07	2.29
500	0.07	2.27
